f/Hz,U/V
0,44.4
1.23303,48.4
2.46607,42
3.6991,35.6
4.93213,24
6.16517,18.4
7.3982,13.2
8.63123,11.2
9.86427,15.6
11.0973,11.2
12.33033,1.2
13.56337,0
14.7964,3.2
16.02943,0
17.26247,8
18.4955,19.2
19.72854,24
20.96157,19.6
22.1946,14.4
23.42763,12.4
24.66066,0
25.89369,5.2
27.12672,13.6
28.35975,12
29.59278,0
30.82581,1.2
32.05884,4
33.29187,0
34.5249,7.2
35.75793,8
36.99096,12
38.22399,18.4
39.45702,17.6
40.69005,13.2
41.92308,3.6
43.15611,16.4
44.38914,19.6
45.62217,13.2
46.8552,0
48.08823,0
49.32126,14.4
50.55429,16.4
51.78732,6.4
53.02035,8
54.25338,0
55.48641,7.2
56.71944,0
57.95247,13.2
59.1855,14.4
60.41853,6.4
61.65156,1.2
62.88459,1.2
64.11762,1.2
65.35065,0
66.58368,4
67.81671,9.6
69.04974,1.2
70.28277,8.8
71.5158,20.8
72.74883,25.6
73.98186,17.6
75.21489,5.2
76.44792,3.6
77.68095,15.2
78.91398,15.2
80.14701,0
81.38004,8
82.61307,0
83.8461,8
85.07913,5.2
86.31216,9.2
87.54519,11.2
88.77822,16.4
90.01125,19.2
91.24428,14
92.47731,5.2
93.71034,0
94.94337,5.2
96.1764,9.6
97.40943,7.2
98.64246,0
99.87549,5.2
101.10852,0
102.34155,8
103.57458,8
104.80761,8
106.04064,14.8
107.27367,12
108.5067,16.8
109.73973,22
110.97276,23.6
112.20579,30
113.43882,42
114.67185,59.6
115.90488,71.6
117.13791,70.4
118.37094,55.6
119.60397,38.8
120.837,35.6
122.07003,30
123.30306,18.8
124.53609,13.2
125.76912,7.2
127.00215,12
128.23518,5.2
129.46821,0
130.70124,7.2
131.93427,5.2
133.1673,4
134.40033,16.8
135.63336,21.2
136.86639,21.6
138.09942,16
139.33245,6.4
140.56548,7.2
141.79851,0
143.03154,7.2
144.26457,11.2
145.4976,3.2
146.73063,4
147.96366,9.6
149.19669,3.2
150.42972,5.2
151.66275,5.2
152.89578,4
154.12881,10.4
155.36184,17.6
156.59487,18.4
157.8279,11.6
159.06093,23.2
160.29396,31.6
161.52699,27.6
162.76002,4
163.99305,1.2
165.22608,0
166.45911,6.4
167.69214,6.4
168.92517,0
170.1582,0
171.39123,3.2
172.62426,8
173.85729,14.4
175.09032,15.6
176.32335,12.8
177.55638,6.4
178.78941,0
180.02244,0
181.25547,6.4
