f/Hz,U/V
0,23.2
1.23303,48.4
2.46607,51.2
3.6991,52.8
4.93213,51.2
6.16517,41.2
7.3982,37.6
8.63123,40.8
9.86427,41.6
11.0973,41.6
12.33033,36.4
13.56337,28.8
14.7964,28.8
16.02943,28
17.26247,22.4
18.4955,12.4
19.72854,18.4
20.96157,14.8
22.1946,9.6
23.42763,6.4
24.66066,2.4
25.89369,13.6
27.12672,9.2
28.35975,12
29.59278,16.4
30.82581,20
32.05884,20.8
33.29187,18.4
34.5249,15.6
35.75793,14
36.99096,14.4
38.22399,17.6
39.45702,18.8
40.69005,17.2
41.92308,14.8
43.15611,0
44.38914,0
45.62217,5.6
46.8552,10.8
48.08823,18
49.32126,18.4
50.55429,16
51.78732,9.6
53.02035,0
54.25338,0
55.48641,9.6
56.71944,6.4
57.95247,0
59.1855,14.4
60.41853,19.6
61.65156,20
62.88459,18.8
64.11762,14.8
65.35065,2.4
66.58368,0
67.81671,6.4
69.04974,9.2
70.28277,9.2
71.5158,5.6
72.74883,2.4
73.98186,0
75.21489,8.4
76.44792,9.6
77.68095,12
78.91398,12
80.14701,9.2
81.38004,5.6
82.61307,0
83.8461,2.4
85.07913,5.6
86.31216,5.6
87.54519,9.2
88.77822,5.6
90.01125,6.4
91.24428,2.4
92.47731,2.4
93.71034,6.4
94.94337,9.6
96.1764,6.4
97.40943,6.4
98.64246,9.6
99.87549,5.6
101.10852,0
102.34155,13.6
103.57458,16.4
104.80761,17.2
106.04064,15.6
107.27367,14
108.5067,14.4
109.73973,9.6
110.97276,8.4
112.20579,15.2
113.43882,12.4
114.67185,14
115.90488,15.2
117.13791,16
118.37094,12
119.60397,9.6
120.837,9.2
122.07003,11.6
123.30306,13.6
124.53609,13.6
125.76912,14.8
127.00215,12
128.23518,2.4
129.46821,13.6
130.70124,16.4
131.93427,15.6
133.1673,20.4
134.40033,22.8
135.63336,22.4
136.86639,24
138.09942,25.2
139.33245,24
140.56548,23.6
141.79851,19.2
143.03154,19.6
144.26457,20.4
145.4976,21.2
146.73063,26
147.96366,25.6
149.19669,20.8
150.42972,21.2
